,x_k,f(x_k)
10,"[[-0.0050889 ]
 [ 0.25025398]
 [-0.15654142]
 [ 0.11565043]
 [ 0.08555232]
 [-0.0130166 ]
 [-0.09663677]
 [ 0.10769415]
 [-0.10669767]
 [-0.09370153]
 [ 0.10459753]
 [ 0.14815735]
 [ 0.18155462]
 [ 0.03677368]
 [-0.15712119]
 [ 0.0817732 ]
 [-0.07867039]
 [-0.04056446]
 [-0.08179908]
 [-0.03755242]
 [-0.07622553]
 [ 0.03018788]
 [ 0.01798333]
 [-0.00799717]
 [-0.01861148]
 [ 0.07032994]
 [ 0.06015924]
 [ 0.21180313]
 [ 0.22374771]
 [ 0.09359785]
 [-0.02928089]
 [-0.13927724]
 [ 0.06115167]
 [ 0.08358853]
 [ 0.07926466]
 [-0.07510765]
 [ 0.06040438]
 [ 0.10240455]
 [ 0.05738325]
 [-0.04440137]
 [-0.03221937]
 [-0.0970491 ]]",35.55633517916099
11,"[[-0.00330447]
 [ 0.2523209 ]
 [-0.15550941]
 [ 0.11763016]
 [ 0.08728601]
 [-0.01138999]
 [-0.09529715]
 [ 0.10927463]
 [-0.105383  ]
 [-0.09263931]
 [ 0.10637231]
 [ 0.15049175]
 [ 0.18380825]
 [ 0.03773569]
 [-0.15578999]
 [ 0.08308133]
 [-0.0773075 ]
 [-0.03894468]
 [-0.08042085]
 [-0.03601271]
 [-0.0751292 ]
 [ 0.03188747]
 [ 0.01967305]
 [-0.00629011]
 [-0.01710704]
 [ 0.07180536]
 [ 0.06187964]
 [ 0.21399647]
 [ 0.22575206]
 [ 0.09475327]
 [-0.02785756]
 [-0.13811983]
 [ 0.06280567]
 [ 0.08547809]
 [ 0.08085516]
 [-0.07363993]
 [ 0.0620993 ]
 [ 0.1040367 ]
 [ 0.05924161]
 [-0.04298947]
 [-0.03039259]
 [-0.09550786]]",33.55028707498845
12,"[[-0.00257987]
 [ 0.26747058]
 [-0.1687769 ]
 [ 0.12876366]
 [ 0.09112237]
 [-0.01344594]
 [-0.09835465]
 [ 0.10569874]
 [-0.12250894]
 [-0.10668136]
 [ 0.11045366]
 [ 0.1617474 ]
 [ 0.20178402]
 [ 0.02737495]
 [-0.16358165]
 [ 0.07345009]
 [-0.08697697]
 [-0.04372447]
 [-0.08931713]
 [-0.03799635]
 [-0.08403521]
 [ 0.03481694]
 [ 0.02158676]
 [-0.01260593]
 [-0.01880975]
 [ 0.06808531]
 [ 0.05730389]
 [ 0.22722899]
 [ 0.23462112]
 [ 0.0870357 ]
 [-0.0374897 ]
 [-0.14768081]
 [ 0.06455584]
 [ 0.09117178]
 [ 0.08098236]
 [-0.0775721 ]
 [ 0.06979612]
 [ 0.10030823]
 [ 0.06480788]
 [-0.04913655]
 [-0.02452677]
 [-0.10473192]]",31.759560417749427
13,"[[-0.00097071]
 [ 0.26929448]
 [-0.16785238]
 [ 0.130551  ]
 [ 0.09265944]
 [-0.01201246]
 [-0.09710596]
 [ 0.10709473]
 [-0.12134239]
 [-0.1057595 ]
 [ 0.11205314]
 [ 0.16380522]
 [ 0.20378516]
 [ 0.02821982]
 [-0.16236408]
 [ 0.07458543]
 [-0.08575599]
 [-0.04227702]
 [-0.08808857]
 [-0.03663909]
 [-0.08305864]
 [ 0.03635483]
 [ 0.02309787]
 [-0.0110789 ]
 [-0.01745264]
 [ 0.0693764 ]
 [ 0.05880631]
 [ 0.22920694]
 [ 0.23637674]
 [ 0.08806577]
 [-0.03623277]
 [-0.14660575]
 [ 0.06605587]
 [ 0.0928903 ]
 [ 0.0823965 ]
 [-0.0762516 ]
 [ 0.07129455]
 [ 0.10174376]
 [ 0.06645996]
 [-0.04788143]
 [-0.02286201]
 [-0.10331303]]",30.160314987368736
14,"[[ 1.49903626e-04]
 [ 2.82248426e-01]
 [-1.79689703e-01]
 [ 1.41132429e-01]
 [ 9.57692647e-02]
 [-1.44387068e-02]
 [-9.82791573e-02]
 [ 1.03417732e-01]
 [-1.36956650e-01]
 [-1.19178851e-01]
 [ 1.16154956e-01]
 [ 1.73109782e-01]
 [ 2.19586081e-01]
 [ 1.84829175e-02]
 [-1.68502675e-01]
 [ 6.49451761e-02]
 [-9.43294770e-02]
 [-4.65457225e-02]
 [-9.61528837e-02]
 [-3.89542824e-02]
 [-9.11355530e-02]
 [ 3.95856848e-02]
 [ 2.48786584e-02]
 [-1.66758439e-02]
 [-1.85789890e-02]
 [ 6.52317773e-02]
 [ 5.36759362e-02]
 [ 2.41671185e-01]
 [ 2.43311771e-01]
 [ 8.10831364e-02]
 [-4.53148026e-02]
 [-1.53953336e-01]
 [ 6.83167868e-02]
 [ 9.89392250e-02]
 [ 8.23236702e-02]
 [-7.94931615e-02]
 [ 7.77474412e-02]
 [ 9.77298841e-02]
 [ 7.12334674e-02]
 [-5.35803453e-02]
 [-1.65913394e-02]
 [-1.10322261e-01]]",28.712570055916274
15,"[[ 0.00162165]
 [ 0.28388377]
 [-0.17885109]
 [ 0.14276279]
 [ 0.09715231]
 [-0.01315801]
 [-0.09710433]
 [ 0.10467129]
 [-0.13590413]
 [-0.11836159]
 [ 0.11761392]
 [ 0.17495198]
 [ 0.22138185]
 [ 0.01923889]
 [-0.16737715]
 [ 0.06595043]
 [-0.09322012]
 [-0.04523421]
 [-0.09504328]
 [-0.03773707]
 [-0.09025108]
 [ 0.04099009]
 [ 0.02624716]
 [-0.01528823]
 [-0.01734246]
 [ 0.06637593]
 [ 0.05501316]
 [ 0.24347483]
 [ 0.24487314]
 [ 0.08202132]
 [-0.04418771]
 [-0.15294708]
 [ 0.06969331]
 [ 0.10052079]
 [ 0.08360107]
 [-0.07828998]
 [ 0.07908673]
 [ 0.09901266]
 [ 0.07272242]
 [-0.05244891]
 [-0.01505938]
 [-0.10899993]]",27.401510849042907
16,"[[ 0.00308105]
 [ 0.29517959]
 [-0.18958148]
 [ 0.15274467]
 [ 0.09971348]
 [-0.01589381]
 [-0.09684152]
 [ 0.10100617]
 [-0.15022854]
 [-0.13110021]
 [ 0.12166247]
 [ 0.18277603]
 [ 0.2352595 ]
 [ 0.01010496]
 [-0.1722717 ]
 [ 0.05648914]
 [-0.10091062]
 [-0.04909669]
 [-0.10247269]
 [-0.0402016 ]
 [-0.09759575]
 [ 0.04428038]
 [ 0.02786807]
 [-0.02023568]
 [-0.01814176]
 [ 0.06184572]
 [ 0.04964314]
 [ 0.25519022]
 [ 0.25032278]
 [ 0.0758338 ]
 [-0.05278887]
 [-0.1586466 ]
 [ 0.07229757]
 [ 0.10678945]
 [ 0.0834389 ]
 [-0.08101802]
 [ 0.08442184]
 [ 0.09484083]
 [ 0.07685005]
 [-0.05779197]
 [-0.00861835]
 [-0.1142467 ]]",26.201682455107793
17,"[[ 0.00444146]
 [ 0.29666497]
 [-0.18881325]
 [ 0.15424397]
 [ 0.10097231]
 [-0.01473706]
 [-0.09572996]
 [ 0.10214698]
 [-0.14926649]
 [-0.13036316]
 [ 0.12300514]
 [ 0.18444637]
 [ 0.23688543]
 [ 0.01079175]
 [-0.17122328]
 [ 0.05739333]
 [-0.09989151]
 [-0.0478954 ]
 [-0.10146089]
 [-0.03909537]
 [-0.09678396]
 [ 0.04557189]
 [ 0.02911919]
 [-0.01895955]
 [-0.01700633]
 [ 0.06287008]
 [ 0.05085182]
 [ 0.25684886]
 [ 0.25172822]
 [ 0.07670134]
 [-0.05176552]
 [-0.15769986]
 [ 0.07357212]
 [ 0.10825771]
 [ 0.08460686]
 [-0.07991093]
 [ 0.08562978]
 [ 0.09600164]
 [ 0.07820651]
 [-0.05676132]
 [-0.00719768]
 [-0.11300376]]",25.10334525851839
18,"[[ 0.0061822 ]
 [ 0.30669387]
 [-0.19865717]
 [ 0.16362246]
 [ 0.10310695]
 [-0.01772566]
 [-0.09439379]
 [ 0.09857745]
 [-0.16247182]
 [-0.14240218]
 [ 0.12693985]
 [ 0.19115206]
 [ 0.2490915 ]
 [ 0.00224153]
 [-0.17517292]
 [ 0.04821479]
 [-0.10684913]
 [-0.05142249]
 [-0.10840855]
 [-0.04160203]
 [-0.10346647]
 [ 0.04877151]
 [ 0.03055793]
 [-0.02332585]
 [-0.01763676]
 [ 0.05800769]
 [ 0.0454522 ]
 [ 0.26784185]
 [ 0.25601253]
 [ 0.07128243]
 [-0.05992318]
 [-0.16216189]
 [ 0.0764038 ]
 [ 0.11463861]
 [ 0.08441676]
 [-0.0822455 ]
 [ 0.08998231]
 [ 0.09176068]
 [ 0.08180081]
 [-0.06182605]
 [-0.00072506]
 [-0.1168395 ]]",24.089604088826537
19,"[[ 0.00744978]
 [ 0.30805719]
 [-0.19794787]
 [ 0.16501025]
 [ 0.10426312]
 [-0.01667168]
 [-0.0933384 ]
 [ 0.09962698]
 [-0.16158353]
 [-0.14172831]
 [ 0.12818378]
 [ 0.19268268]
 [ 0.25057493]
 [ 0.00287319]
 [-0.17419081]
 [ 0.04903819]
 [-0.10590478]
 [-0.05031267]
 [-0.10747923]
 [-0.04058623]
 [-0.10271336]
 [ 0.04996581]
 [ 0.03170992]
 [-0.02214139]
 [-0.01658776]
 [ 0.05893251]
 [ 0.04655832]
 [ 0.26937707]
 [ 0.2572898 ]
 [ 0.07209316]
 [-0.05898461]
 [-0.16126786]
 [ 0.07759213]
 [ 0.11601058]
 [ 0.08549468]
 [-0.0812189 ]
 [ 0.09108005]
 [ 0.0928217 ]
 [ 0.0830472 ]
 [-0.06087968]
 [ 0.00060062]
 [-0.11566413]]",23.15373870356142
